INPUT:image	GOLDEN:result
https://i.ibb.co/qsPq9DV/Andrena-fulva-24752696-1-easy.jpg	fulva
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/Km1xyyf/Andrena-fulva-70388818-1-easy.jpg	fulva
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/rs1yXcm/Andrena-fulva-20995537-1-easy.jpg	fulva
https://i.ibb.co/f0K9SkM/Andrena-bicolor-39748872-3-easy.jpg	bicolor
https://i.ibb.co/0BzwBz1/Andrena-bicolor-39411385-1-hard-corr.jpg	bicolor
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/KjLf0VP/Andrena-flavipes-22101904-1-easy.jpg	flavipes
https://i.ibb.co/9w7Zn1Q/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/7rspKWP/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/4WDjqkn/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes
https://i.ibb.co/3s6Y3zQ/Andrena-fulva-25074448-1-hard-corr.jpg	fulva
https://i.ibb.co/0Vkd3X2/Andrena-fulva-41775092-1-easy.jpg	fulva
https://i.ibb.co/jzn4QvR/Andrena-flavipes-50557228-1-easy.jpg	flavipes
https://i.ibb.co/60x2k4g/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/s6xJQdq/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/7JLQ4Jw/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor
https://i.ibb.co/GnNm41B/Andrena-bicolor-40186737-3-easy.jpg	bicolor
https://i.ibb.co/NjZXnVW/Andrena-flavipes-33484614-1-easy.jpg	flavipes
https://i.ibb.co/yhfTmyd/Andrena-fulva-16795311-1-easy.jpg	fulva
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes
https://i.ibb.co/bd0myGZ/Andrena-bicolor-44969462-2-easy.jpg	bicolor
https://i.ibb.co/vv6FB8F/Andrena-fulva-101552423-1-easy.jpg	fulva
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/6g92FP2/Andrena-bicolor-71835166-1-easy.jpg	bicolor
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/4S0sVTm/Andrena-fulva-70388239-1-easy.jpg	fulva
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/vv6FB8F/Andrena-fulva-101552423-1-easy.jpg	fulva
https://i.ibb.co/8KxVj4r/Andrena-flavipes-5795371-2-easy.jpg	flavipes
https://i.ibb.co/dfZb8j6/Andrena-fulva-25074448-1-hard-corr.jpg	fulva
https://i.ibb.co/R3nHyDM/Andrena-bicolor-40186737-3-easy.jpg	bicolor
https://i.ibb.co/W2fySWs/Andrena-fulva-90803821-3-hard-corr.jpg	fulva
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/tq10DjQ/Andrena-fulva-41623103-3-easy.jpg	fulva
https://i.ibb.co/RDSVXQ0/Andrena-flavipes-18165663-1-easy.jpg	flavipes
https://i.ibb.co/n6b4nsP/Andrena-fulva-41818491-1-easy.jpg	fulva
https://i.ibb.co/4WDjqkn/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes
https://i.ibb.co/g3gsTmw/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/HDgjLzK/Andrena-bicolor-39411385-1-hard-corr.jpg	bicolor
https://i.ibb.co/Js3fSyh/Andrena-fulva-24752696-1-easy.jpg	fulva
https://i.ibb.co/M1CJmrg/Andrena-bicolor-2799379-1-easy.jpg	bicolor
https://i.ibb.co/52N4Jmj/Andrena-fulva-70388818-1-easy.jpg	fulva
https://i.ibb.co/HDX3fMw/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes
https://i.ibb.co/t2BHpfQ/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/rs1yXcm/Andrena-fulva-20995537-1-easy.jpg	fulva
https://i.ibb.co/WtxTM22/Andrena-flavipes-41750715-1-easy.jpg	flavipes
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/9ZnDjn1/Andrena-fulva-16795311-1-easy.jpg	fulva
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/9w7Zn1Q/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/0MvjzQn/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/ngt8zxg/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor
https://i.ibb.co/3sfvGpz/Andrena-fulva-43172780-1-easy.jpg	fulva
https://i.ibb.co/0MvjzQn/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/myvQs3j/Andrena-flavipes-33484614-1-easy.jpg	flavipes
https://i.ibb.co/bd0myGZ/Andrena-bicolor-44969462-2-easy.jpg	bicolor
https://i.ibb.co/wYYjZ8g/Andrena-fulva-41818491-1-easy.jpg	fulva
https://i.ibb.co/3sfvGpz/Andrena-fulva-43172780-1-easy.jpg	fulva
https://i.ibb.co/ngt8zxg/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor
https://i.ibb.co/njtWJVv/Andrena-bicolor-71944410-2-easy.jpg	bicolor
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/dfZb8j6/Andrena-fulva-25074448-1-hard-corr.jpg	fulva
https://i.ibb.co/RDSVXQ0/Andrena-flavipes-18165663-1-easy.jpg	flavipes
https://i.ibb.co/hBWdtdY/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/HDgjLzK/Andrena-bicolor-39411385-1-hard-corr.jpg	bicolor
https://i.ibb.co/XLK5rdd/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/MfJCFXf/Andrena-fulva-70057243-5-easy.jpg	fulva
https://i.ibb.co/M7M8SsR/Andrena-fulva-90803821-3-hard-corr.jpg	fulva
https://i.ibb.co/mtDSLMf/Andrena-bicolor-71835166-1-easy.jpg	bicolor
https://i.ibb.co/52N4Jmj/Andrena-fulva-70388818-1-easy.jpg	fulva
https://i.ibb.co/jDZmhnP/Andrena-fulva-70388239-1-easy.jpg	fulva
https://i.ibb.co/4WDjqkn/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/9w7Zn1Q/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/wy5wTM5/Andrena-bicolor-70836009-2-easy.jpg	bicolor
https://i.ibb.co/HGpYtv0/Andrena-fulva-41775092-1-easy.jpg	fulva
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor
https://i.ibb.co/7rspKWP/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/vv6FB8F/Andrena-fulva-101552423-1-easy.jpg	fulva
https://i.ibb.co/9gyjL4s/Andrena-fulva-71290622-1-easy.jpg	fulva
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/rs1yXcm/Andrena-fulva-20995537-1-easy.jpg	fulva
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes
https://i.ibb.co/wy5wTM5/Andrena-bicolor-70836009-2-easy.jpg	bicolor
https://i.ibb.co/dfZb8j6/Andrena-fulva-25074448-1-hard-corr.jpg	fulva
https://i.ibb.co/myvQs3j/Andrena-flavipes-33484614-1-easy.jpg	flavipes
https://i.ibb.co/bd0myGZ/Andrena-bicolor-44969462-2-easy.jpg	bicolor
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/wrJYT80/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes
https://i.ibb.co/0BzwBz1/Andrena-bicolor-39411385-1-hard-corr.jpg	bicolor
https://i.ibb.co/60x2k4g/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/52N4Jmj/Andrena-fulva-70388818-1-easy.jpg	fulva
https://i.ibb.co/M7M8SsR/Andrena-fulva-90803821-3-hard-corr.jpg	fulva
https://i.ibb.co/cJ1tFwy/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/M1CJmrg/Andrena-bicolor-2799379-1-easy.jpg	bicolor
https://i.ibb.co/pX5LzXp/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/QnDSMgN/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/bLFq1QF/Andrena-flavipes-22101904-1-easy.jpg	flavipes
https://i.ibb.co/CsmVJyJ/Andrena-bicolor-39748872-3-easy.jpg	bicolor
https://i.ibb.co/0Vkd3X2/Andrena-fulva-41775092-1-easy.jpg	fulva
https://i.ibb.co/9w7Zn1Q/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/WtxTM22/Andrena-flavipes-41750715-1-easy.jpg	flavipes
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/9ZnDjn1/Andrena-fulva-16795311-1-easy.jpg	fulva
https://i.ibb.co/7rspKWP/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/4S0sVTm/Andrena-fulva-70388239-1-easy.jpg	fulva
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/ZYdWQsV/Andrena-flavipes-50557228-1-easy.jpg	flavipes
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/HGpYtv0/Andrena-fulva-41775092-1-easy.jpg	fulva
https://i.ibb.co/Km1xyyf/Andrena-fulva-70388818-1-easy.jpg	fulva
https://i.ibb.co/mG291HR/Andrena-bicolor-2799379-1-easy.jpg	bicolor
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor
https://i.ibb.co/qsPq9DV/Andrena-fulva-24752696-1-easy.jpg	fulva
https://i.ibb.co/6g92FP2/Andrena-bicolor-71835166-1-easy.jpg	bicolor
https://i.ibb.co/z6fTTHF/Andrena-bicolor-53755527-1-easy.jpg	bicolor
https://i.ibb.co/4WDjqkn/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes
https://i.ibb.co/t2BHpfQ/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/3s6Y3zQ/Andrena-fulva-25074448-1-hard-corr.jpg	fulva
https://i.ibb.co/7JLQ4Jw/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor
https://i.ibb.co/pXKYndF/Andrena-bicolor-70836009-2-easy.jpg	bicolor
https://i.ibb.co/s6xJQdq/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/jDZmhnP/Andrena-fulva-70388239-1-easy.jpg	fulva
https://i.ibb.co/yhfTmyd/Andrena-fulva-16795311-1-easy.jpg	fulva
https://i.ibb.co/Rjp6Lg6/Andrena-flavipes-49603112-1-easy.jpg	flavipes
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes
https://i.ibb.co/wYYjZ8g/Andrena-fulva-41818491-1-easy.jpg	fulva
https://i.ibb.co/9w7Zn1Q/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/W2fySWs/Andrena-fulva-90803821-3-hard-corr.jpg	fulva
https://i.ibb.co/bd0myGZ/Andrena-bicolor-44969462-2-easy.jpg	bicolor
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/0MvjzQn/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes
https://i.ibb.co/f0K9SkM/Andrena-bicolor-39748872-3-easy.jpg	bicolor
https://i.ibb.co/W2fySWs/Andrena-fulva-90803821-3-hard-corr.jpg	fulva
https://i.ibb.co/dfZb8j6/Andrena-fulva-25074448-1-hard-corr.jpg	fulva
https://i.ibb.co/R3nHyDM/Andrena-bicolor-40186737-3-easy.jpg	bicolor
https://i.ibb.co/wrJYT80/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/myvQs3j/Andrena-flavipes-33484614-1-easy.jpg	flavipes
https://i.ibb.co/3sfvGpz/Andrena-fulva-43172780-1-easy.jpg	fulva
https://i.ibb.co/mG291HR/Andrena-bicolor-2799379-1-easy.jpg	bicolor
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/wYYjZ8g/Andrena-fulva-41818491-1-easy.jpg	fulva
https://i.ibb.co/KqRcKNR/Andrena-fulva-101552423-1-easy.jpg	fulva
https://i.ibb.co/8BkZHzZ/Andrena-fulva-41623103-3-easy.jpg	fulva
https://i.ibb.co/X2Z5zRX/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/60x2k4g/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/0Vkd3X2/Andrena-fulva-41775092-1-easy.jpg	fulva
https://i.ibb.co/XLK5rdd/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/BLD0tnT/Andrena-fulva-71290622-1-easy.jpg	fulva
https://i.ibb.co/pX5LzXp/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/s6xJQdq/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/HDX3fMw/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes
https://i.ibb.co/bd0myGZ/Andrena-bicolor-44969462-2-easy.jpg	bicolor
https://i.ibb.co/wy5wTM5/Andrena-bicolor-70836009-2-easy.jpg	bicolor
https://i.ibb.co/8KxVj4r/Andrena-flavipes-5795371-2-easy.jpg	flavipes
https://i.ibb.co/KjLf0VP/Andrena-flavipes-22101904-1-easy.jpg	flavipes
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/ngt8zxg/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor
https://i.ibb.co/7rspKWP/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/njtWJVv/Andrena-bicolor-71944410-2-easy.jpg	bicolor
https://i.ibb.co/rs1yXcm/Andrena-fulva-20995537-1-easy.jpg	fulva
https://i.ibb.co/9w7Zn1Q/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/W2fySWs/Andrena-fulva-90803821-3-hard-corr.jpg	fulva
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes
https://i.ibb.co/qCtNVTd/Andrena-bicolor-53755527-1-easy.jpg	bicolor
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/6g92FP2/Andrena-bicolor-71835166-1-easy.jpg	bicolor
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/GnNm41B/Andrena-bicolor-40186737-3-easy.jpg	bicolor
https://i.ibb.co/M1CJmrg/Andrena-bicolor-2799379-1-easy.jpg	bicolor
https://i.ibb.co/CsmVJyJ/Andrena-bicolor-39748872-3-easy.jpg	bicolor
https://i.ibb.co/t2BHpfQ/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/3s6Y3zQ/Andrena-fulva-25074448-1-hard-corr.jpg	fulva
https://i.ibb.co/7JLQ4Jw/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor
https://i.ibb.co/3hMw36H/Andrena-flavipes-41750715-1-easy.jpg	flavipes
https://i.ibb.co/g3gsTmw/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/Rjp6Lg6/Andrena-flavipes-49603112-1-easy.jpg	flavipes
https://i.ibb.co/HDgjLzK/Andrena-bicolor-39411385-1-hard-corr.jpg	bicolor
https://i.ibb.co/qsPq9DV/Andrena-fulva-24752696-1-easy.jpg	fulva
https://i.ibb.co/0MvjzQn/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/8KxVj4r/Andrena-flavipes-5795371-2-easy.jpg	flavipes
https://i.ibb.co/tq10DjQ/Andrena-fulva-41623103-3-easy.jpg	fulva
https://i.ibb.co/9gJTwdf/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor
https://i.ibb.co/bd0myGZ/Andrena-bicolor-44969462-2-easy.jpg	bicolor
https://i.ibb.co/wrJYT80/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes
https://i.ibb.co/ZYdWQsV/Andrena-flavipes-50557228-1-easy.jpg	flavipes
https://i.ibb.co/dg8pFhN/Andrena-flavipes-42347630-2-easy.jpg	flavipes
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/W2fySWs/Andrena-fulva-90803821-3-hard-corr.jpg	fulva
https://i.ibb.co/myvQs3j/Andrena-flavipes-33484614-1-easy.jpg	flavipes
https://i.ibb.co/0MvjzQn/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/ZYdWQsV/Andrena-flavipes-50557228-1-easy.jpg	flavipes
https://i.ibb.co/HGpYtv0/Andrena-fulva-41775092-1-easy.jpg	fulva
https://i.ibb.co/6g92FP2/Andrena-bicolor-71835166-1-easy.jpg	bicolor
https://i.ibb.co/dfZb8j6/Andrena-fulva-25074448-1-hard-corr.jpg	fulva
https://i.ibb.co/W5xDn4W/Andrena-flavipes-5795371-2-easy.jpg	flavipes
https://i.ibb.co/HDX3fMw/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes
https://i.ibb.co/X2Z5zRX/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/g3gsTmw/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/n6b4nsP/Andrena-fulva-41818491-1-easy.jpg	fulva
https://i.ibb.co/Rjp6Lg6/Andrena-flavipes-49603112-1-easy.jpg	flavipes
https://i.ibb.co/pXKYndF/Andrena-bicolor-70836009-2-easy.jpg	bicolor
https://i.ibb.co/sbG0Y17/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor
https://i.ibb.co/t2BHpfQ/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/cJ1tFwy/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/9gyjL4s/Andrena-fulva-71290622-1-easy.jpg	fulva
https://i.ibb.co/wrJYT80/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes
https://i.ibb.co/WtxTM22/Andrena-flavipes-41750715-1-easy.jpg	flavipes
https://i.ibb.co/0BzwBz1/Andrena-bicolor-39411385-1-hard-corr.jpg	bicolor
https://i.ibb.co/3sfvGpz/Andrena-fulva-43172780-1-easy.jpg	fulva
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/WzCQP4j/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/f0K9SkM/Andrena-bicolor-39748872-3-easy.jpg	bicolor
https://i.ibb.co/vv6FB8F/Andrena-fulva-101552423-1-easy.jpg	fulva
https://i.ibb.co/W2fySWs/Andrena-fulva-90803821-3-hard-corr.jpg	fulva
https://i.ibb.co/N1SLWqQ/Andrena-bicolor-70615494-2-hard-wrong.jpg	bicolor
https://i.ibb.co/7rspKWP/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/bd0myGZ/Andrena-bicolor-44969462-2-easy.jpg	bicolor
https://i.ibb.co/HGpYtv0/Andrena-fulva-41775092-1-easy.jpg	fulva
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/wYYjZ8g/Andrena-fulva-41818491-1-easy.jpg	fulva
https://i.ibb.co/9gyjL4s/Andrena-fulva-71290622-1-easy.jpg	fulva
https://i.ibb.co/XLNFGQR/Andrena-flavipes-91695281-1-hard-corr.jpg	flavipes
https://i.ibb.co/tq10DjQ/Andrena-fulva-41623103-3-easy.jpg	fulva
https://i.ibb.co/HDgjLzK/Andrena-bicolor-39411385-1-hard-corr.jpg	bicolor
https://i.ibb.co/QnDSMgN/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/M1CJmrg/Andrena-bicolor-2799379-1-easy.jpg	bicolor
https://i.ibb.co/jzn4QvR/Andrena-flavipes-50557228-1-easy.jpg	flavipes
https://i.ibb.co/MfJCFXf/Andrena-fulva-70057243-5-easy.jpg	fulva
https://i.ibb.co/3s6Y3zQ/Andrena-fulva-25074448-1-hard-corr.jpg	fulva
https://i.ibb.co/X2Z5zRX/Andrena-flavipes-40178244-1-easy.jpg	flavipes
https://i.ibb.co/sbG0Y17/Andrena-bicolor-42078638-2-hard-wrong.jpg	bicolor
https://i.ibb.co/60x2k4g/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/pXKYndF/Andrena-bicolor-70836009-2-easy.jpg	bicolor
https://i.ibb.co/myvQs3j/Andrena-flavipes-33484614-1-easy.jpg	flavipes
https://i.ibb.co/tmr2smf/Andrena-bicolor-70513296-4-hard-wrong.jpg	bicolor
https://i.ibb.co/8KxVj4r/Andrena-flavipes-5795371-2-easy.jpg	flavipes
https://i.ibb.co/9ZnDjn1/Andrena-fulva-16795311-1-easy.jpg	fulva
https://i.ibb.co/ngt8zxg/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/R3nHyDM/Andrena-bicolor-40186737-3-easy.jpg	bicolor
https://i.ibb.co/t3HdXFV/Andrena-flavipes-18165663-1-easy.jpg	flavipes
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/n8DXKnf/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/tq10DjQ/Andrena-fulva-41623103-3-easy.jpg	fulva
https://i.ibb.co/KjLf0VP/Andrena-flavipes-22101904-1-easy.jpg	flavipes
https://i.ibb.co/7rspKWP/Andrena-flavipes-11582465-1-hard-corr.jpg	flavipes
https://i.ibb.co/KV9bkxt/Andrena-fulva-78595111-1-hard-wrong.jpg	fulva
https://i.ibb.co/9ZnDjn1/Andrena-fulva-16795311-1-easy.jpg	fulva
https://i.ibb.co/0BzwBz1/Andrena-bicolor-39411385-1-hard-corr.jpg	bicolor
https://i.ibb.co/HGpYtv0/Andrena-fulva-41775092-1-easy.jpg	fulva
https://i.ibb.co/ZYdWQsV/Andrena-flavipes-50557228-1-easy.jpg	flavipes
https://i.ibb.co/JyXq5Hn/Andrena-fulva-83947290-1-hard-wrong.jpg	fulva
https://i.ibb.co/hd9s7Br/Andrena-flavipes-70512188-3-hard-corr.jpg	flavipes
https://i.ibb.co/60x2k4g/Andrena-flavipes-75178065-1-hard-wrong.jpg	flavipes
https://i.ibb.co/z6fTTHF/Andrena-bicolor-53755527-1-easy.jpg	bicolor
https://i.ibb.co/s6xJQdq/Andrena-flavipes-74766389-2-hard-corr.jpg	flavipes
https://i.ibb.co/QnDSMgN/Andrena-bicolor-58631640-2-hard-corr.jpg	bicolor
https://i.ibb.co/pXKYndF/Andrena-bicolor-70836009-2-easy.jpg	bicolor
https://i.ibb.co/4WDjqkn/Andrena-flavipes-74134704-3-hard-corr.jpg	flavipes
https://i.ibb.co/3hMw36H/Andrena-flavipes-41750715-1-easy.jpg	flavipes
https://i.ibb.co/xXsc7Tr/Andrena-flavipes-42347630-2-easy.jpg	flavipes
https://i.ibb.co/M1CJmrg/Andrena-bicolor-2799379-1-easy.jpg	bicolor
https://i.ibb.co/M7M8SsR/Andrena-fulva-90803821-3-hard-corr.jpg	fulva
https://i.ibb.co/ngt8zxg/Andrena-bicolor-43644050-1-hard-corr.jpg	bicolor
https://i.ibb.co/vzrPWf9/Andrena-fulva-70057243-5-easy.jpg	fulva
